;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Domingos;;;;;;;;
MAQ;Estado;Medida;Orden de Fabricación;Código PT;Descricpción;REFERENCIA;CANT. PEDIDO;SALDO POR ATENDER;STOCK;UM;FECHA DE EMISION;FECHA DE ENTREGA;RAZON SOCIAL;MARCA;VENDEDOR;DETALLE PRODUCTO;OBSERVACIÓN;Cantidad;U.M.;MT;TP;Inicio Prod ;COLORES;MATERIAL;GRAMAGE;ANCHO;ALTO;CILINDRO;PESO POR MILLAR;PESO REQUERIDO;CANTIDAD DE EMPAQUETADO;TIPO DE ETIQUETA;Horas preparación de máquina;Horas corrección;Horas de Producción;Horas de tabajo (maquina);Dias de la semana;Horas Estimadas;Horas sub total;Dia festivo;Horas totales de producción;Fin de ocupación-Calculado;Fin de Producción-Proyectado;Auxiliar;Fin de Producción;Tipo de Producción;Stock PT;Stock PT (UM);Orden;Columna1
Flexo 1;Por programar;40X40;2604-8009;203030401;HOJA PAPEL ANTIGRASA 40 X 40 IMP. WANTA (PQT X 1000);;;;;;;;;;;;;10;MIL;4000;4000.0000;1/1/2026 0:00:00;GUINDA;ANTIGRASA;38;40;40;40;6.080;60.800;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;1/1/2026 20:30:00;Stock;0.00;0.00;33;
Flexo 1;Por programar;33.8X40;2604-8010;203030680;HOJA PAPEL ANTIGRASA (33.8 X 40) IMP. CHICKEN WHAT (ROJO) PQT X 500 UND;;;;;;;;;;;;;20;MIL;6760;6760.0000;1/1/2026 0:00:00;ROJO;ANTIGRASA;40;40;34;33;5.280;105.600;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;1/1/2026 21:52:48;Stock;0.00;0.00;34;
Flexo 1;Por programar;27.3X25.2;2604-8011;203030371;NVO. PAPEL BISCUIT (27.3 X 25.2) INTRFLD POPEYES (PQT X 1000UN);;;;;;;;;;;;;200;MIL;54600;54600.0000;1/1/2026 0:00:00;NARANJA ;ANTIGRASA;40;26;27;33;3.432;686.400;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;2/1/2026 21:48:00;Stock;0.00;0.00;40;
Flexo 1;Por programar;36 X 36;2604-8012;203030382;PAPEL ENVOLTURA POP PQT X 1000 UND;;;;;;;;;;;;;18;MIL;6480;6480.0000;2/1/2026 0:00:00;NARANJA;ANTIGRASA;38;35;36;33;4.389;79.002;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;2/1/2026 21:44:24;Stock;0.00;0.00;41;
Flexo 1;Por programar;31X21.5;2604-8013;203030718;LINER BLANCO 30.5 x 20.5 PAQ. X 1000 CH;;;;;;;;;;;;;80;MIL;34400;34400.0000;1/1/2026 0:00:00;NEGRO Y ROJO;ANTIGRASA;38;31;43;43;5.065;405.232;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;2/1/2026 11:42:00;Stock;0.00;0.00;41;
Flexo 1;Por programar;35X36;2604-8014;203030721;PAPEL ENVOLTURA MEDIANA BEMBOS 2025 (PQTE X 500);;;;;;;;;;;;NUEVO DISEÑO;200;MIL;66000;66000.0000;2/1/2026 0:00:00;AZUL(P286U),ROJO(P2347U),AMARILLO CALENTADO(P116U),AMARILLO;ANTIGRASA;38;35;33;33;4.389;877.800;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;5/1/2026 3:30:00;Stock;0.00;0.00;42;
Flexo 1;Por programar;28X30;2604-8015;203030722;PAPEL ENVOLTURA JR BEMBOS 2025 (PQTE X 500);;;;;;;;;;;;NUEVO DISEÑO;200;MIL;66000;66000.0000;3/1/2026 0:00:00;AZUL(P286U),ROJO(P2347U),AMARILLO CALENTADO(P116U),AMARILLO;ANTIGRASA;38;31;33;33;3.887;777.480;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;5/1/2026 3:30:00;Stock;0.00;0.00;43;
Flexo 1;Por programar;11X15;2604-8016;205030893;SOBRE DE PAPA GDE BEMBOS PQTE X 1000 UND 2025;;;;;;;;;;;;NUEVO DISEÑO;200;MIL;30000;30000.0000;4/1/2026 0:00:00;AMARILLO,AZUL(P286U),ROJO(P2347U);ANTIGRASA;38;24;15;45;4.104;820.800;01 PQT.;MEDIANA;MEDIANA;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;5/1/2026 9:30:00;Stock;0.00;0.00;44;
Flexo 1;Por programar;11X13;2604-8017;205030892;SOBRE DE PAPA MED BEMBOS PQTE X 4000 UND  2025;;;;;;;;;;;;NUEVO DISEÑO;200;MIL;26000;26000.0000;5/1/2026 0:00:00;AMARILLO,AZUL(P286U),ROJO(P2347U);ANTIGRASA;38;24;13;39;3.557;711.360;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;6/1/2026 7:30:00;Stock;0.00;0.00;45;
Flexo 1;Por programar;11X10.5;2604-8018;205030894;SOBRE DE PAPA JR. BEMBOS PQTE X 4000 UND 2025;;;;;;;;;;;;NUEVO DISEÑO;200;MIL;21000;21000.0000;6/1/2026 0:00:00;AZUL(P286U),ROJO(P2347U),AMARILLO CALENTADO(P116U),;ANTIGRASA;38;24;11;21;1.915;383.040;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;7/1/2026 5:00:00;Stock;0.00;0.00;46;
Flexo 1;Por programar;35X40;2604-8019;203030727;HOJA PAPEL ANTIGRASA 35 X 40  IMP. EL CHINITO;;;;;;;;;;;;NUEVO DISEÑO;80;MIL;28800;28800.0000;7/1/2026 0:00:00;GRIS Y NEGRA LA TACA;ANTIGRASA;38;44;36;36;5.951;476.064;1,000 UND.;CHICA ;CHICA ;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;8/1/2026 8:54:00;Stock;0.00;0.00;47;
Flexo 1;;27.3 X 25.20;2604-8021;203030559;HOJA PAPEL ANTIGRASA SNACK BB (PQT X 1000 UND);;;;;;;;;;;;;20;MIL;6600;6600.0000;9/1/2026 0:00:00;AMARILLO JR. BB;ANTIGRASA;38;31;33;33;3.887;77.748;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;49;
Flexo 2;;22.5X27.5X11.5;2603-0567      ;205051666;BOLSA PAPEL KRAFT #22 IMP. VIENA EXPRESS (01 COLOR 02 CARAS);se envia clisse;25;25;0;MIL;19/03/2026;18/04/2026;INVERSIONES VIENA DEL PERU S.A.C.;KRAFT 70 GR;MARIA PALACIOS;MAQ. 12 -VERDE GCMI 24;;27;MIL;7425;7425.0000;2/1/2026 0:00:00;GCMI 24 - VERDE;KRAFT;70;71;28;37;18.389;496.503;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;13;
Flexo 2;;22.5X27.5X11.5;2604-8042;205051640;BOLSA PAPEL KRAFT #22 C/ASA TWIS IMP. CROISSANTA & CAFE (FONDO NEGRO);;;;;;;;;;;;;20;MIL;7200;7200.0000;3/1/2026 0:00:00;NEGRO;KRAFT HOLMET;73;71;36;36;18.659;373.176;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;14;
Flexo 2;;21X27X13;2604-8029;205051558;BAG SHOPPER (LOCAL) PAQ. X 400 UND.;;;;;;;;;;;;;300;MIL;108000;108000.0000;4/1/2026 0:00:00;VERDE STARBUCKS;LINER;70;70;36;36;17.640;5292.000;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;15;
