;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Domingos;;;;;;;;
MAQ;Estado;Medida;Orden de Fabricación;Código PT;Descricpción;REFERENCIA;CANT. PEDIDO;SALDO POR ATENDER;STOCK;UM;FECHA DE EMISION;FECHA DE ENTREGA;RAZON SOCIAL;MARCA;VENDEDOR;DETALLE PRODUCTO;OBSERVACIÓN;Cantidad;U.M.;MT;TP;Inicio Prod ;COLORES;MATERIAL;GRAMAGE;ANCHO;ALTO;CILINDRO;PESO POR MILLAR;PESO REQUERIDO;CANTIDAD DE EMPAQUETADO;TIPO DE ETIQUETA;Horas preparación de máquina;Horas corrección;Horas de Producción;Horas de tabajo (maquina);Dias de la semana;Horas Estimadas;Horas sub total;Dia festivo;Horas totales de producción;Fin de ocupación-Calculado;Fin de Producción-Proyectado;Auxiliar;Fin de Producción;Tipo de Producción;Stock PT;Stock PT (UM);Orden;Columna1
6;Por programar;15X26.5X9;2604-8062;205012717;BOLSA VYG PAPEL KRAFT #06 (FARDO X 1,000 UND) 2024;;;;;;;;;;;;;300;MIL;No aplica;No aplica;1/1/2026 0:00:00;NO APLICA;KRAFT;50;50;27;33;8.250;2475.000;0;0;0;1;2;#¡VALOR!;8;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;5/1/2026 9:39:28;Stock;0.00;0.00;9;
6;Por programar;15X23X9;2604-8063;205012711;BOLSA VYG PAPEL KRAFT #05 (FARDO X 1000 UND) 2024;;;;;;;;;;;;;300;MIL;No aplica;No aplica;1/1/2026 0:00:00;NO APLICA;KRAFT;50;50;30;30;7.500;2250.000;0;0;0;1;2;#¡VALOR!;8;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;5/1/2026 9:39:28;Stock;0.00;0.00;10;
6;;16X23X4.5;2604-8064;205013089;BOLSA VYG PAPEL KRAFT #04 - 50 GR (PAQ X 2,000 UND) 2025;;;;;;;;;;;;COGIDO DE 50 GR PERO PRODUCIDO CON 60 GRAMOS;300;MIL;No aplica;No aplica;3/1/2026 0:00:00;NO APLICA;KRAFT;60;44;26;26;6.786;2035.800;1,000 UND.;MEDIANA;MEDIANA;1;2;#¡VALOR!;8;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;-118.8;1/1/2026 10:51:28;Stock;0.00;0.00;13;
6;Por programar;12.8X24X8;2604-8065;205012085;BOLSA PAPEL KRAFT #4 IMP. ALIADA (NARANJA/AZUL) - 02 CAR;PRODUCIR , POR FAVOR TENER EN CUENTO ELIMINAR LA PARTE DE JOHNS HOPKINS ;8;8;1;MIL;9/05/2025;12/05/2025;ONCOCARE S.A.C.;KRAFT 50 GR;BETSY CERNA P.;;;8;MIL;No aplica;No aplica;3/1/2026 0:00:00;AZUL MATIZ Y NARANJA MATIZ*;KRAFT;50;44;24;31;6.634;53.070;0;0;0;1;2;#¡VALOR!;8;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;-118.8;29/12/2025 21:23:03;Stock;0.00;0.00;13;
6;Por programar;12.8X24X8;2604-8066;205011975;BOLSA PAPEL KRAFT #4 IMP. SANNA (02 CAR - VERDE);para producir ;30;30;8.251;MIL;20/05/2025;20/05/2025;SISTEMAS DE ADMINISTRACION HOSPITALARIA S.A.C.;KRAFT 50 GR;BETSY CERNA P.;;;50;MIL;No aplica;No aplica;1/1/2026 0:00:00;VERDE MATIZ*;KRAFT;50;44;24;31;6.634;331.688;1,000 UND.;CHICA;CHICA;1;2;#¡VALOR!;8;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;2/1/2026 5:01:35;Stock;0.00;0.00;8;
6;Por programar;12.8X24X8;2604-8067;205012079;BOLSA PAPEL KRAFT #4 IMP. SANNA DR+ (02 CAR - VERDE/NEGRO);;;;;;;;;;;;;10;MIL;No aplica;No aplica;1/1/2026 0:00:00;VERDE MATIZ* + NEGRO;KRAFT;50;44;24;31;6.634;66.338;1,000 UND.;CHICA;CHICA;1;2;#¡VALOR!;8;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;1/1/2026 20:36:19;Stock;0.00;0.00;9;
6;Por programar;12.8X24X8;2604-8068;205010112;BOLSA #04 PH X 1000 UND.;;;;;;;;;;;;;200;MIL;No aplica;No aplica;1/1/2026 0:00:00;ROJO INTENSO;KRAFT;50;44;30;30;6.525;1305.000;01 PQT.;MEDIANA;MEDIANA;1;2;#¡VALOR!;8;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;3/1/2026 12:36:19;Stock;0.00;0.00;10;
6;Por programar;12.8X24X8;2604-8069;205010657;BAG #04 GROCERY CS/1000 C/LOGO STARBUCKS;;;;;;;;;;;;;200;MIL;No aplica;No aplica;1/1/2026 0:00:00;VERDE STARBUCKS;KRAFT;50;44;30;30;6.525;1305.000;01 PQT.;MEDIANA;MEDIANA;1;2;#¡VALOR!;8;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;3/1/2026 12:36:19;Stock;0.00;0.00;11;
6;;12.8X24X8;2604-8070;205010833;BOLSA PAPEL KRAFT #04 IMP. EL CHINITO 01 COL.;;;;;;;;;;;;;20;MIL;No aplica;No aplica;2/1/2026 0:00:00;NEGRO;KRAFT;50;44;30;30;6.525;130.500;1,000 UND.;CHICA;CHICA;1;2;#¡VALOR!;8;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;2/1/2026 22:42:38;Stock;0.00;0.00;12;
7;Por programar;16.5X32X10;2604-8072;205012727;BOLSA VYG PAPEL KRAFT #10 - 60 GR (PAQ X 1,000 UND) 2024;;;;;;;;;;;;;200;MIL;No aplica;No aplica;8/12/2025 0:00:00;NO APLICA;KRAFT;60;55;38;38;12.540;2508.000;0;0;0;1;2;#¡VALOR!;8;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;10/12/2025 23:50:00;Stock;0.00;0.00;1821.724691;
7;Por programar;16X29X10;2604-8076;205012725;BOLSA VYG PAPEL KRAFT #08 - 60 GR (PAQ X 1,000 UND) 2024;;;;;;;;;;;;;30;MIL;No aplica;No aplica;1/1/2026 0:00:00;NO APLICA;KRAFT;60;55;39;39;12.705;381.150;1,000 UND.;MEDIANA;MEDIANA;1;2;#¡VALOR!;8;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;3/1/2026 10:30:00;Stock;0.00;0.00;14;
7;Por programar;18X32X10.5;2604-8073;205012726;BOLSA VYG PAPEL KRAFT #12 - 60 GR (PAQ X 1,000 UND) 2024;;;;;;;;;;;;;30;MIL;No aplica;No aplica;1/1/2026 0:00:00;NO APLICA;KRAFT;60;59;39;39;13.806;414.180;1,000 UND.;MEDIANA;MEDIANA;1;2;#¡VALOR!;8;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;3/1/2026 23:50:00;Stock;0.00;0.00;12;
7;Por programar;16.5X32X10;2604-8071;205012719;BOLSA VYG PAPEL KRAFT #10 - 50 GR (PAQ X 1,000 UND) 2024;;;;;;;;;;;;;100;MIL;No aplica;No aplica;11/1/2026 0:00:00;NO APLICA;KRAFT;50;55;38;38;10.450;1045.000;0;0;0;1;2;#¡VALOR!;8;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;12/1/2026 21:10:00;Stock;0.00;0.00;-1801.724691;
7;;16.5X32X10;2604-8072;205012727;BOLSA VYG PAPEL KRAFT #10 - 60 GR (PAQ X 1,000 UND) 2024;;;;;;;;;;;;;200;MIL;No aplica;No aplica;12/1/2026 0:00:00;NO APLICA;KRAFT;60;55;38;38;12.540;2508.000;0;0;0;1;2;#¡VALOR!;8;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;;#N/D;Stock;0.00;0.00;-1800.724691;
7;Por programar;18X32X10.5;2604-8073;205012726;BOLSA VYG PAPEL KRAFT #12 - 60 GR (PAQ X 1,000 UND) 2024;;;;;;;;;;;;;200;MIL;No aplica;No aplica;1/1/2026 0:00:00;NO APLICA;KRAFT;60;59;39;39;13.806;2761.200;1,000 UND.;MEDIANA;MEDIANA;1;2;#¡VALOR!;8;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;3/1/2026 23:50:00;Stock;0.00;0.00;12;
7;Por programar;16X29X10;2604-8074;205013079;BOLSA VYG PAPEL KRAFT #12 - 50 GR (PAQ X 1,000 UND) 2025;;;;;;;;;;;;CODIGOS DE 50GR CON MATERIAL DE 60GR;100;MIL;No aplica;No aplica;1/1/2026 0:00:00;NO APLICA;KRAFT;60;59;39;39;13.806;1380.600;0;0;0;1;2;#¡VALOR!;8;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;2/1/2026 21:10:00;Stock;0.00;0.00;17;
7;Por programar;16X29X10;2604-8075;205013078;BOLSA VYG PAPEL KRAFT #08 - 50 GR (PAQ X 1,000 UND) 2025;;;;;;;;;;;;CODIGOS DE 50GR CON MATERIAL DE 60GR;100;MIL;No aplica;No aplica;1/1/2026 0:00:00;NO APLICA;KRAFT;60;55;39;39;12.705;1270.500;0;0;0;1;2;#¡VALOR!;8;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;2/1/2026 21:10:00;Stock;0.00;0.00;16;
7;Por programar;16X29X10;2604-8076;205012725;BOLSA VYG PAPEL KRAFT #08 - 60 GR (PAQ X 1,000 UND) 2024;;;;;;;;;;;;;150;MIL;No aplica;No aplica;1/1/2026 0:00:00;NO APLICA;KRAFT;60;55;39;39;12.705;1905.750;1,000 UND.;MEDIANA;MEDIANA;1;2;#¡VALOR!;8;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;3/1/2026 10:30:00;Stock;0.00;0.00;14;
7;Por programar;16X29X10;2604-8077;205010686;BOLSA KRAFT PB #08 X 1000 UND;;10;4;4;PQT;13/03/2025;15/03/2025;PINKDEL S.A.C.;KRAFT 50 GR;MARIA PALACIOS;;;20;MIL;No aplica;No aplica;1/1/2026 0:00:00;VERDE MATIZ Y ROJO INTENSO;KRAFT;50;55;39;39;10.588;211.750;01 PQT.;CHICA;CHICA;1;2;#¡VALOR!;8;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;1/1/2026 23:50:00;Stock;0.00;0.00;15;
7;;21X37X13;2604-8078;205012390;BOLSA VYG PAPEL KRAFT #20 - 70 GR MAQ 07;;;;;;;;;;;;;200;MIL;No aplica;No aplica;1/1/2026 0:00:00;NO APLICA;KRAFT;70;71;37;46;22.862;4572.400;0;0;0;1;2;#¡VALOR!;8;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;3/1/2026 23:50:00;Stock;0.00;0.00;16;
8;;18X32X10.5;2604-0211;205010924;BOLSA PAPEL KRAFT #12 IMP. LACTEOS LA CONGA (02 CAR - NEGRO);LACTEOS LA CONGA #12, S/650, PIE DE IMPRENTA VYG;10;10;0;MIL;9/04/2026;9/05/2026;PLANTA LACTEA LA CONGA S.A.C.;KRAFT 60 GR;MARGOT MARCHENA;MAQ. 7;;10;MIL;No aplica;No aplica;22/2/2026 0:00:00;NEGRO;KRAFT;60;59;0;39;13.806;138.060;0;0;0;1;4;#¡VALOR!;24;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;;#N/D;Pedido;0.00;0.00;385;
8;;18X31.5X10.5;2603-0182B;205013200;BOLSA PAPEL KRAFT #12 IMP. CLAUDIA PASTELERIA (01 CAR - NEGRO);CLAUDIA PASTELERIA, S/1000, YA TIENE CLISSE;8;8;0;MIL;6/03/2026;5/04/2026;ROGGERO ABREGU CLAUDIA;KRAFT 60 GR;GISELLA SEGURA;MAQ 8-#12 (18 X 31.5 X 10.5);;8;MIL;No aplica;No aplica;15/2/2026 0:00:00;NEGRO;KRAFT;60;59;32;39;13.806;110.448;0;0;0;1;4;#¡VALOR!;24;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;;#N/D;Pedido;0.00;0.00;378;
8;;18X32X10.5;2603-0521;205012723;BOLSA PAPEL KRAFT #12 IMP. 01 COLOR 3 CARAS LA VACA NEGRA;Bolsa bc12 paq. 7;5;5;1;MIL;18/03/2026;17/04/2026;CHEF KITCHEN E.I.R.L.;KRAFT 60 GR;MARIA PALACIOS;MAQ. 7-P 533U;;5;MIL;No aplica;No aplica;16/2/2026 0:00:00;AZUL OSCURO (P 533U);KRAFT;60;59;32;41;14.514;72.570;1,000 UND.;CHICA;CHICA;1;4;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;6/2/2026 20:30:00;Pedido;0.00;0.00;379;
8;;0;2603-0007A;205011497;BOLSA PAPEL KRAFT #12 IMP. SANT CREAM CREPES (01 CARA - MARRON);ya tiene clisse;5;5;0;MIL;2/03/2026;23/03/2026;POICON LOPEZ ARLENE MADELY;KRAFT 60 GR;GISELLA SEGURA;;;5;MIL;No aplica;No aplica;16/2/2026 0:00:00;MARRON;KRAFT;60;59;43;43;15.045;75.225;0;0;0;1;4;#¡VALOR!;24;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;;#N/D;Pedido;0.00;0.00;379;
8;;18X32X10.5;2603-0038A;205012143;BOLSA PAPEL KRAFT #12 IMP.  OSSO BURGUER (ROJO);;5;5;0;MIL;2/03/2026;22/03/2026;CALUGA INVERSIONES S.A.C.;KRAFT 60 GR;MARIA PALACIOS;;;5;MIL;No aplica;No aplica;14/2/2026 0:00:00;ROJO INTENSO;KRAFT;60;59;39;39;13.806;69.030;1,000 UND.;CHICA;CHICA;1;4;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;6/2/2026 20:30:00;Pedido;0.00;0.00;377;
8;;18X32X10.5;2604-8088;205010225;BOLSA PAPEL KRAFT #12 IMP. MEDITERRANEO;;;;;;;;;;;;;20;MIL;No aplica;No aplica;15/2/2026 0:00:00;ROJO INTENSO;KRAFT;60;59;39;39;13.806;276.120;0;0;0;1;4;#¡VALOR!;24;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;;#N/D;Pedido;0.00;0.00;378;
8;;18X32X10.5;2604-0366      ;205011323;BOLSA PAPEL KRAFT #12 IMP. CARLITOS (02 COL);;10;10;0.6;MIL;15/04/2026;15/05/2026;SERO SERVICIOS DE ALIMENTOS S.A.C.;KRAFT 60 GR;MARIA PALACIOS;;;10;MIL;No aplica;No aplica;23/2/2026 0:00:00;AZUL KFC Y ROJO;KRAFT;60;59;39;39;13.806;138.060;1,000 UND.;CHICA;CHICA;1;4;#¡VALOR!;24;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;;#N/D;Pedido;0.00;0.00;386;
8;;18X32X10.5;2603-0881;205012941;BOLSA PAPEL KRAFT #12 IMP.CAAS 2025;CAAS;10;10;0;MIL;31/03/2026;5/05/2026;SERVICIOS GENERALES CAYTA E.I.R.L.;KRAFT 60 GR;BETSY CERNA P.;MAQ. 8-01 COL(VERDE)-NUEVO CLISÉ / EL MISMO VERDE DE SIEMPRE;;10;MIL;No aplica;No aplica;22/2/2026 0:00:00;VERDE X CONFIRMAR;KRAFT;60;59;32;39;13.806;138.060;0;0;0;1;4;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Pedido;0.00;0.00;385;
8;;18X32X10.5;2604-0109A;205013053;BOLSA PAPEL KRAFT #12 IMP. ASADOS HECTOR (03 COL - 01 CAR) (PQT X 500 UND);ASADOS HECTOR (SURCO) , S/2500, PIE DE IMPRENTA VYG;20;20;0;PQT;26/03/2026;25/04/2026;HLY E.I.R.L.;KRAFT 60 GR;MARGOT MARCHENA;FLEXOGRAFIA-COLORES SEGUN MUESTRA DEL CLIENTE.- (PQT X 500 UND);;30;MIL;No aplica;No aplica;21/2/2026 0:00:00;ROJO,VERDE Y DORADO;KRAFT;60;59;32;39;13.806;414.180;0;0;0;1;4;#¡VALOR!;24;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;;#N/D;Pedido;0.00;0.00;384;
8;;18X32X10.5;2603-0671      ;205011859;42840954 - BOLSA PAPEL KRAFT #12 IMP. LA PASTELERIA - TOTTUS;para stock;10;10;5.28;MIL;24/03/2026;3/04/2026;HIPERMERCADOS TOTTUS S.A.;KRAFT 60 GR;GISELLA SEGURA;;;10;MIL;No aplica;No aplica;20/2/2026 0:00:00;ROSADO MATIZ, MARRON, VERDE CH Y VERDE VYG;KRAFT;60;59;39;39;13.806;138.060;1,000 UND.;CHICA;CHICA;1;4;#¡VALOR!;24;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;;#N/D;Pedido;0.00;0.00;383;
8;;16X29X10;2604-0033A;205013218;BOLSA PAPEL KRAFT BLANCO #8 IMP. JACINTO & CORNELIA (04 CARA/ 04 COL);BC8 BC6, JACINTO & CORNELIA, S/4,484, P BLACK 6 U, P 2031U, P 324U, P 1355U, P IMP. V&G;20;20;0;MIL;1/04/2026;1/05/2026;SINTONIA S.A.C.;KRAFT BLANCO 60 GR;MARGOT MARCHENA;MÁQ 08 - #08 (16 X 29 X 9.5)  PANTONES BLACK 6 U, P 2031U, P 324U, P 1355U; P IMP. V&G;20;MIL;No aplica;No aplica;23/2/2026 0:00:00;P BLACK 6 U, P 2031U, P 324U, P 1355U,;KRAFT BLANCO;60;60;29;36;12.960;259.200;0;0;0;1;4;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Pedido;0.00;0.00;386;
8;;16X29X10;2604-0282;205013226;BOLSA PAPEL KRAFT BLANCO #8 IMP. LA FRAGARIA (04 CAR / 01 COLOR) GUAYABA;#8 LA FRAGARIA, S/500, PIE DE IMPRENTA VYG,;5;5;0;MIL;13/04/2026;4/05/2026;DISTRIBUIDORA.WADY S.A.C.;KRAFT BLANCO 60 GR;MARGOT MARCHENA;MAQ 8- (16 X 29 X 10) P/2030U;;5;MIL;No aplica;No aplica;24/2/2026 0:00:00;2030U;KRAFT BLANCO;60;60;29;36;12.960;64.800;0;0;0;1;4;#¡VALOR!;24;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;;#N/D;Pedido;0.00;0.00;387;
8;;16X29X10;2604-0469A;205012795;BOLSA PAPEL KRAFT 60 GR #8 IMP SANDWICHES MONSTRUOS (04 CAR - 3 COL) 2025;;30;30;0;MIL;20/04/2026;11/05/2026;SANDWICHES MONSTRUOS S.A.C.;KRAFT 60 GR;GISELLA SEGURA;FLEXOGRAFIA- (04 CAR - 3 COL)  ROJO, BLANCO Y NEGRO;;30;MIL;No aplica;No aplica;25/2/2026 0:00:00;ROJO/NEGRO/BLANCO;KRAFT;60;55;32;36;11.880;356.400;1,000 UND.;CHICA;CHICA;1;4;#¡VALOR!;24;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;;#N/D;Pedido;0.00;0.00;388;
8;;15X23X9;2604-8079;205010505;BOLSA #06 KFC X 1,000 UND.;;;;;;;;;;;;;400;MIL;No aplica;No aplica;26/2/2026 0:00:00;NEGRO;KRAFT;50;50;30;30;7.500;3000.000;01 PQT.;MEDIANA;MEDIANA;1;4;#¡VALOR!;24;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;;#N/D;Pedido;0.00;0.00;389;
8;;15X23X9;2604-8080;205010177;BOLSA #06 BK X 1,000 UND.;;;;;;;;;;;;;40;MIL;No aplica;No aplica;27/2/2026 0:00:00;NARANJA BK, MARRON BK Y ROJO;KRAFT;50;50;30;30;7.500;300.000;ETIQUETA CON QR;MEDIANA;MEDIANA;1;4;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Pedido;0.00;0.00;390;
8;;15X26.5X9;2604-8082;205012159;BOLSA PAPEL KRAFT #06 IMP. EL CHINITO 01 COL.;;;;;;;;;;;;;40;MIL;No aplica;No aplica;27/2/2026 0:00:00;NEGRO;KRAFT;50;50;27;33;8.250;330.000;1,000 UND.;CHICA;CHICA;1;4;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Pedido;0.00;0.00;390;
8;;15X26.5X9;2604-8146;205013219;BOLSA PAPEL KRAFT #06 IMP. MR. SUSHI 2 COLOR (2026);;;;;;;;;;;;;10;MIL;No aplica;No aplica;28/2/2026 0:00:00;NEGRO Y BLANCO;KRAFT;60;50;27;33;9.900;99.000;0;0;0;1;4;#¡VALOR!;24;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;;#N/D;Pedido;0.00;0.00;391;
8;;15X26.5X9;2604-8151;205012901;SMALL TAKE PAPER BAG KRAFT #6 IMP. TACO BELL (PURPLE);;;;;;;;;;;;;10;MIL;No aplica;No aplica;1/3/2026 0:00:00;MORADO - color purple;KRAFT;60;50;27;33;9.900;99.000;1,000 UND.;CHICA;CHICA;1;4;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Pedido;0.00;0.00;392;
8;;0;2604-0163B;205013224;BOLSA PAPEL KRAFT 60 GR #06 IMP. D&P MARY (1 CARA 1 COLOR - ROJO);NUEVO ARTE (SE MODIFICO DIRECCIONES) SE ADJUNTA ARTE ;12;12;0;MIL;8/04/2026;29/04/2026;PICARONES MARY S.A.C.;KRAFT 60 GR;GISELLA SEGURA;FLEXOGRAFIA-IMP. D&P MARY 1 CARA 1 COLOR - ROJO-NUEVO DISEÑO COLOR ROJO;;12;MIL;No aplica;No aplica;2/3/2026 0:00:00;0;00:00;0;0;0;0;0.000;0.000;0;0;0;1;4;#¡VALOR!;24;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;;#N/D;Pedido;0.00;0.00;393;
8;;15X31X9;2604-8091;205011548;BOLSA PAPEL KRAFT #06 ALTO 31 IMP. GELARTI - PASTELERIA;;;;;;;;;;;;;10;MIL;No aplica;No aplica;28/2/2026 0:00:00;MATIZ DE MAGENTA Y NEGRO;KRAFT;50;50;31;39;9.750;97.500;100  und x enfilado;0;0;1;4;#¡VALOR!;24;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;;#N/D;Pedido;0.00;0.00;391;
8;;15X26.5X9;2604-8083;205012294;BOLSA PAPEL ANTIGRASA #06 POP (PQT X 1000 UND);;;;;;;;;;;;;330;MIL;No aplica;No aplica;1/3/2026 0:00:00;NARANJA DUNKIN;ANTIGRASA;45;50;27;33;7.425;2450.250;ETIQUETA CON QR;MEDIANA;MEDIANA;1;4;#¡VALOR!;24;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;;#N/D;Pedido;0.00;0.00;392;
8;;15X23X9;2604-8079;205010505;BOLSA #06 KFC X 1,000 UND.;;;;;;;;;;;;;400;MIL;No aplica;No aplica;26/2/2026 0:00:00;NEGRO;KRAFT;50;50;30;30;7.500;3000.000;01 PQT.;MEDIANA;MEDIANA;1;4;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;9/2/2026 12:30:00;Pedido;0.00;0.00;389;
8;Por programar;15X23X9;2604-8080;205010177;BOLSA #06 BK X 1,000 UND.;;;;;;;;;;;;;90;MIL;No aplica;No aplica;7/2/2026 0:00:00;NARANJA BK, MARRON BK Y ROJO;KRAFT;50;50;30;30;7.500;675.000;ETIQUETA CON QR;MEDIANA;MEDIANA;1;4;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;7/2/2026 22:30:00;Pedido;0.00;0.00;370;
8;Por programar;15X26.5X9;2604-8081;205012144;BOLSA #06 IMP. CH (X 1000 UND);;;;;;;;;;;;;10;MIL;No aplica;No aplica;8/2/2026 0:00:00;VERDE CHILIS Y ROJO INTENSO;KRAFT;50;50;27;33;8.250;82.500;01 PQT.;MEDIANA;MEDIANA;1;4;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;9/2/2026 6:30:00;Pedido;0.00;0.00;371;
8;Por programar;15X26.5X9;2604-8082;205012159;BOLSA PAPEL KRAFT #06 IMP. EL CHINITO 01 COL.;;;;;;;;;;;;;30;MIL;No aplica;No aplica;1/1/2026 0:00:00;NEGRO;KRAFT;50;50;27;33;8.250;247.500;1,000 UND.;CHICA;CHICA;1;4;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;1/1/2026 10:30:00;Stock;0.00;0.00;48;
8;Por programar;15X26.5X9;2604-8083;205012294;BOLSA PAPEL ANTIGRASA #06 POP (PQT X 1000 UND);;;;;;;;;;;;;100;MIL;No aplica;No aplica;1/1/2026 0:00:00;NARANJA DUNKIN;ANTIGRASA;45;50;27;33;7.425;742.500;ETIQUETA CON QR;MEDIANA;MEDIANA;1;4;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;2/1/2026 0:30:00;Stock;0.00;0.00;52;
8;;16X29X10;2604-8084;205011998;BOLSA PAPEL ANTIGRASA #08 IMP. DUNKIN DONUTS PQT X 1000 UND;;;;;;;;;;;;;40;MIL;No aplica;No aplica;1/1/2026 0:00:00;NARANJA 165U, FUCSIA 206U;ANTIGRASA;50;56;32;36;10.080;403.200;01 PQT.;MEDIANA;MEDIANA;1;4;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;1/1/2026 12:30:00;Stock;0.00;0.00;52;
8;Por programar;16.5X31.5X10;2604-8085;205010175;BOLSA #10 BK X 1,000 UND.;;;;;;;;;;;;;180;MIL;No aplica;No aplica;2/1/2026 0:00:00;NARANJA DUNKIN,ROJO Y MARRON DUNKIN;KRAFT;50;55;41;41;11.275;2029.500;ETIQUETA CON QR;MEDIANA;MEDIANA;1;4;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;3/1/2026 16:30:00;Stock;0.00;0.00;53;
8;Por programar;16.5X31.5X10;2604-8086;205011256;BOLSA #10 KFC X 1,000 UND.;;;;;;;;;;;;;80;MIL;No aplica;No aplica;3/1/2026 0:00:00;NEGRO;KRAFT;60;57;39;39;13.338;1067.040;01 PQT.;MEDIANA;MEDIANA;1;4;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;3/1/2026 20:30:00;Stock;0.00;0.00;54;
8;;18X32X10.5;2604-8087;205012158;BOLSA PAPEL KRAFT #12 IMP. EL CHINITO (60 GR-01 COLOR) DETALLE DE DIRECCIÓN;;;;;;;;;;;;;20;MIL;No aplica;No aplica;4/1/2026 0:00:00;NEGRO;KRAFT;60;59;39;39;13.806;276.120;1,000 UND.;MEDIANA;MEDIANA;1;4;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;5/1/2026 8:30:00;Stock;0.00;0.00;55;
